id,name,summary,cultivation,toxicity
49,Asparagus aethiopicus,"Asparagus aethiopicus, Sprenger's asparagus, is a plant native to the Cape Provinces and the Northern Provinces of South Africa. Often used as an ornamental plant, it is considered an invasive weed in many locations. Asparagus fern, asparagus grass and foxtail fern are common names; however, it is unrelated to true ferns. A. aethiopicus has been confused with A. densiflorus, now regarded as a separate species, so that information about A. aethiopicus will often be found under the name A. densiflorus.",No data available,No data available
50,Aspidistra elatior,"Aspidistra elatior, the cast-iron-plant or bar-room plant, also known in Japanese as haran or baran (葉蘭) is a species of flowering plant in the family Asparagaceae, native to Japan and Taiwan. Tolerant of neglect, it is widely cultivated as a houseplant, but can also be grown outside in shade where temperatures remain above −15 °C (5 °F). It is used as training material for the seika form of ikebana.","A. elatior is well known in cultivation and has a reputation for withstanding neglect, giving rise to its common name of cast-iron plant. It is tolerant of low light, low humidity, temperature fluctuation and irregular watering. It is best situated in a position away from direct sun to avoid leaf bleaching. Good drainage is also required for optimal growth and to avoid root rot. Widely grown as a house plant, it can also be grown successfully outdoors in shade in temperate climates, where plants will generally cope with temperatures down to −15 °C (5 °F) but be killed by frosts of −15 to −20 °C (5 to −4 °F) or below.
The species is not seriously troubled by insects, but mites and scale may cause occasional problems. Its leaves and roots may be subject to browsing by hoofed mammals such as deer, as well as rodents and rabbits.
This plant has gained the Royal Horticultural Society's Award of Garden Merit.
A number of cultivars are available, including:

'Asahi' (meaning ""morning sun"" in Japanese) – the leaves open chocolate brown, turning green from the base upwards
'Hoshi-zora' (meaning ""starry sky"" in Japanese) – large, faintly speckled leaves
'Lennon's Song' – long narrow ends to the leaves and a central paler green stripe (discovered by an American grower of cut foliage, Robin Lennon)
'Variegata' – with white stripes running along the length of the leaf; has also won the AGM
A. elatior 'Milky Way' is properly A. lurida 'Ginga'.",No data available
51,Asplenium antiquum,"Asplenium antiquum is a species of fern in the family Aspleniaceae. It is sometimes referred to by the common names bird's-nest ferns (also called spleenworts). In Japanese, it is known by ō-tani-watari  and tani-watari. It grows on cliffs, logs and rocks, near waterfalls, in damp forests, and on tree trunks in China, Japan, Korea, and Taiwan. It is classified as an endangered species in both South Korea and Japan.

","Despite its endangered status in Japan and South Korea, Asplenium antiquum is a fairly common ornamental plant within the nursery trade, widely sold throughout Asia, Australia, Europe, and North and South America. This species may be grown outdoors all year-round in certain temperate and subtropical climates (for example, in sheltered, ventilated areas within USDA hardiness zones 9 and 10); elsewhere, it may live outside from approximately May through October (in the northern hemisphere; about October to March in the southern). However, it must be protected or brought-inside as a house plant when frost is a risk, or when nighttime temperatures drop below 40 °F (4.44 °C). It requires fairly consistent, high humidity—albeit without being so saturated as to induce rot. The ideal substrate should be aerated and well-draining, such as sphagnum moss, while still feeling like a damp, wrung-out sponge. Keep out of direct sunlight while still providing bright, indirect light. A. antiquum does best in a well ventilated but comfortable greenhouse or terrarium setup, if grown indoors, and thrives in semi-hydroponics.
Some commonly available cultivars and forms in the plant trade include:
- Asplenium antiquum 'Crissie'
- 'Hurricane'
- 'Leslie'
- 'Osaka'
- 'Victoria'",No data available
52,Asplenium bulbiferum,"Asplenium bulbiferum, known as mother spleenwort, is a fern species native to New Zealand only. It is also called hen and chicken fern and, in the Māori language, pikopiko, mouku or mauku. Its fronds are eaten as a vegetable.
It grows small bulbils on top of its fronds. Once grown to about 5 cm (2.0 in), these offspring fall off and, provided the soil they land in is kept moist, develop a root system and grow into new ferns. This additional means of reproduction can be employed with greater ease than propagation by spores. There are a number of similar Southern Hemisphere species which have a similar mode of reproduction, including Asplenium daucifolium.
Asplenium bulbiferum commonly grows in most bush areas in New Zealand. It thrives in many situations from shade to partial sunlight.",No data available,No data available
53,Asplenium gracillimum,"Asplenium gracillimum is a fern species native to Australia and New Zealand, also found in Stewart Island and the Chatham Islands. The specific epithet gracillimum refers to the slender and graceful appearance of this fern.

",No data available,No data available
54,Asplenium nidus,"Asplenium nidus is an epiphytic species of fern in the family Aspleniaceae, native to tropical southeastern Asia, eastern Australia, Hawaii (ʻēkaha in Hawaiian), Polynesia, Christmas Island, India, and eastern Africa. It is known by the common names bird's-nest fern (a name shared by some other aspleniums) or simply nest fern.

",No data available,No data available
55,Astrophytum asterias,"Astrophytum asterias is a species of cactus in the genus Astrophytum, and is native to small parts of Texas in the United States and Mexico. Common names include sand dollar cactus, sea urchin cactus, star cactus and star peyote.

","Sand Dollar Cactus has been grown as a houseplant since the 1840s, like other members of its genus and despite its rarity in the wild. It is readily propagated from seed, so most plants encountered in nurseries are seed grown. The popularity of this species among collectors and enthusiasts has ensured that a number of cultivars are available. One such cultivar is the 'Super Kabuto', a clonally propagated variety whose large trichomes congregate into dense spots, arranged in a striking pattern.",No data available
56,Begonia bowerae,"Begonia bowerae, the eyelash begonia, is a species of flowering plant in the family Begoniaceae, native to Oaxaca and Chiapas states of Mexico. A popular houseplant, a number of cultivars are available.

",No data available,No data available
57,Begonia conchifolia,"Begonia conchifolia, the zip begonia, is a species of flowering plant in the family Begoniaceae. It is native to Central America; El Salvador, Costa Rica and Panama. As a houseplant it does best out of direct sunlight. 'Red Ruby' is the best known cultivar.",No data available,No data available
58,Begonia maculata,"Begonia maculata (maculata meaning ""spotted""), the polka dot begonia, is a species of begonia native to southeast Brazil. It grows naturally in the Atlantic rainforest, with occurrences confirmed in the Brazilian states of Espírito Santo and Rio de Janeiro. It has been introduced into Mexico, Cuba, the Dominican Republic, and Argentina. 
Begonia maculata has green oblong leaves with silver dots. The undersides of the leaves are red-purple. The plant grows white or pink flowers in clusters with yellow centers on a single stem. The best conditions for propagating Begonia maculata are bright, indirect light and water poured just below the surface of the soil anytime it seems dry to the touch. Use filtered water or rainfall, it requires less water but more often than other tropical plants.",No data available,No data available
59,Begonia rex,"Begonia rex, the king begonia, is a species of flowering plant in the family Begoniaceae. It is found from Arunachal Pradesh to southeast China, and has been introduced to Bangladesh, Cuba, and Hispaniola. It is a parent to over 500 cultivars in the Begonia Rex Cultorum Group of houseplants. Other parents in the multitude of crosses made during the creation of the Group include Begonia annulata, B. cathayana, B. decora, B. diadema, B. dregei, B. grandis, B. hatacoa, B. palmata, and B. xanthina.
The following cultivars in the Begonia Rex Cultorum Group have gained the Royal Horticultural Society's Award of Garden Merit: 'Benitochiba', 'Carolina Moon', 'China Curl', 'Curly Fireflush', 'David Blais', 'Dewdrop', 'Emerald Beauty', 'Escargot', 'Fireworks', 'Green Gold', 'Helen Lewis', 'Hilo Holiday', 'Ironstone', 'Martin Johnson', 'Midnight Magic', 'Mikado', 'Namur', 'Orient', 'Pink Champagne', 'Princess of Hanover', 'Red Robin', 'Regal Minuet', 'Rocheart', 'Roi de Roses', 'Sal's Comet', 'Sea Serpent', 'Silver Cloud', 'Silver King', and 'Silver Queen'.
These plants are noted for their dark leaves with prominent silvery grey bands. When this species was introduced into cultivation, it became popular as a houseplant. Hybrids began to appear with varying leaf patterns as Rex begonias hybridize quite freely.

",No data available,No data available
60,Begonia taliensis,"Begonia taliensis (syn. Begonia muliensis) is a species of flowering plant in the family Begoniaceae. It is found from Arunachal Pradesh in India, to Sichuan and Yunnan in China. A deciduous tuberous geophyte reaching 0.5 m (20 in), it is typically found in scrublands and forests at elevations from 1,300 to 2,400 m (4,300 to 7,900 ft). Its leaves can be up to 25 cm (10 in) long, with a mix of purplish, green, and silvery green blotches. The flowers are small and pink. It is available from commercial suppliers as a houseplant.",No data available,No data available
61,Begonia venosa,"Begonia venosa, the veined begonia, is a species of flowering plant in the family Begoniaceae, native to eastern Brazil. Kept as a houseplant for its striking foliage, it can handle more sunlight than the average begonia, and prefers a well-drained soil.",No data available,No data available
62,Boea plant,"Boea is a genus of plants in the family Gesneriaceae, with species originating from Australia, China, India, Malaysia, Myanmar, Philippines, Polynesia, Solomon Islands, Thailand, Papua New Guinea, Indonesia, Nepal, Bhutan, Cambodia, Vietnam and Laos.
For example, B. hygroscopica, also known as the Queensland rock violet in Australia, occurs in Cape York Peninsula and Northeast Queensland as far south as Rockhampton, from 60–900 metres (200–2,950 ft) elevation. It grows along creek beds, on moist banks, moss-covered rocks in rainforest, open forest, vine forest and gallery forest.
Some Boea species are known as types of resurrection plant due to their ability to survive desiccation (e.g. B. hygrometrica and B. hygroscopica).","These cultivation notes are based on B. hygroscopica, a species from Northern Queensland, Australia.
B. hygroscopica grows to about 15 centimetres (6 in), and forms a dense, velvety clump that flowers over many weeks in the warm months.
A well-drained soil is suggested for this plant, achieved by using a potting mix with 20% sand content, and 5mm (~0.2 inches) of scoria or other drainage material in the bottom of the pot. A fertilizer with an NPK ratio of about 13.8:3.2:9.9, plus trace elements, is recommended.
This plant prefers bright, filtered light, possibly with some early-morning direct sun. It can be planted in the garden in a well-drained, consistently moist location.
The only major pests of this plant are chewing insects such as grasshoppers and caterpillars.",No data available
63,Caladium praetermissum,"Caladium () is a genus of flowering plants in the family Araceae. They are often known by the common name elephant ear (which they share with the closely related genera Alocasia, Colocasia, and Xanthosoma), heart of Jesus, and angel wings. There are over 1000 named cultivars of Caladium bicolor from the original South American plant.
The genus Caladium includes seven species that are native to South America and Central America, and naturalized in India, parts of Africa, and various tropical islands. They grow in open areas of the forest and on the banks of rivers and go dormant during the dry season. The wild plants grow to 15–35 inches (40–90 cm) tall, with leaves mostly 6-18 inches (15–45 cm) long and broad.","Several species are grown as ornamental plants for their large, arrowhead-shaped leaves marked in varying patterns in white, pink, and red (somewhat resembling the unrelated coleus) and have been in cultivation in Europe since the late 18th century. The two forms most widely cultivated are called ""fancy-leaved"" and ""lance-leaved"". The former is the more commonly seen and is the traditional caladium of cultivation; the leaves are more heart-shaped. The latter has more lance-head-shaped leaves. Most Caladiums in cultivation grow to about 24 inches (60 cm) high and 24 inches (60 cm) wide, although dwarf varieties are now in cultivation.
Numerous cultivars have been selected, most of them derived from C. bicolor. Many are sold as C. × hortulanem, a synonym for C. bicolor. The lance-leaved varieties are also derived from C. schomburgkii.
Caladiums grow from tubers and can be propagated by dividing the tubers. They are hardy only to USDA plant hardiness zone 10; in colder areas, they are typically grown as tender ""bulbs"" or as houseplants.
During their growing season, they require moderate watering (damp, not soggy). Most varieties prefer partial to full shade, although sun-resistant varieties are now in cultivation. Approximately 98% of all caladium ""bulbs"" are from Lake Placid, Florida, in the United States. In recent years, many new varieties have become available through breeding and are now largely disease resistant. The bulk of ""bulb"" production is sold to pot producers, who in turn provide local nursery outlets with potted caladiums ready for immediate planting. Most ""bulb"" growers also sell direct retail via websites, shipping of ""bulbs"" takes place in the spring when temperatures permit (""bulbs"" are subject to damage if temperatures are too low).
In temperate areas, they should be lifted before the first frost. The tubers are dried and stored for the winter when temperatures fall to 65 °F (18 °C), and stored moderately dry (not bone-dry) over the winter at temperatures between 56 °F (13 °C) and 61 °F (16 °C).
All parts of the plant are poisonous. They should not be ingested and may irritate sensitive skin.",No data available
64,Calla plant,"Calla is a genus of flowering plant in the family Araceae, containing the single species Calla palustris (bog arum, marsh calla, wild calla, squaw claw, and water-arum). It is the only genus in the tribe Calleae.",No data available,No data available
65,Campanula isophylla,"Campanula isophylla is a species of plant. The common names of the species include Italian bellflower, star of Bethlehem, falling stars and trailing campanula.

",No data available,No data available
66,Campyloneurum phyllitidis,"Campyloneurum phyllitidis, commonly known as the long strap fern, is a species of fern in the family Polypodiaceae.",No data available,No data available
67,Cane begonia,"The cane begonias are a group of Begonia cultivars. Their name derives from their tough, bamboo-like stems. They can grow up to 10 ft (3.0 m) tall, which may necessitate staking. They are often ideal as houseplants when kept under control. 

",No data available,No data available
68,Ceropegia woodii,"Ceropegia woodii is a flowering plant in the dogbane family Apocynaceae, native to South Africa, Eswatini and Zimbabwe. It is sometimes treated as a subspecies of the related Ceropegia linearis, as C. linearis subsp. woodii. Common names include chain of hearts, collar of hearts, string of hearts, rosary vine, hearts-on-a-string, and sweetheart vine.

","Ceropegia woodii is tender and in temperate regions it is a very popular houseplant, often grown in hanging baskets so the long trailing branches may hang down with their leaves spaced out like a row of large beads. Several cultivars have been selected, some with variegated leaves. It requires excellent drainage, should be watered only when dry, and should never stand in water. Excess water should be removed from plant saucer after watering. It can be grown outdoors only in subtropical and tropical areas having a minimum temperature of 15 °C (59 °F). It typically requires shady conditions consisting of 3–4 hours of indirect sunlight.
This plant has gained the Royal Horticultural Society's Award of Garden Merit (confirmed 2017).",No data available
69,Chamaedorea cataractarum,"Chamaedorea cataractarum, the cat palm, cascade palm, or cataract palm, is a small palm tree.  It is native to Southern Mexico and Central America.

","Cat palms require high light for indoor house plants. The suggested minimum temperature is 4.5 °C (40.1 °F). They are particularly susceptible to dry soil, and water must be applied regularly. Fertilizer should be applied every one or two months.
It is grown as a garden plant in tropical and subtropical regions and climates.",No data available
70,Chamaedorea elegans,"Chamaedorea elegans, the neanthe bella palm or parlour palm, is a species of small palm tree native to the rainforests in Southern Mexico and Guatemala. The parlor palm is one of the most extensively sold houseplant palms in the world. It is one of several species with leaves that are harvested as xate.
This plant has gained the Royal Horticultural Society's Award of Garden Merit.

","It is often cultivated in temperate regions as a houseplant and in gardens in Southeastern United States, where it grows to 2 m (6 ft 7 in) tall with very slow growth. It is most-often planted and sold in batches of 5-30 seedlings. Over time, a few emergent plants begin to dominate as the weaker/smaller seedlings are crowded out for light and eventually die, leaving within a few years of purchase a few survivors which develop stems and can live for many decades in a pot. It tolerates low levels of humidity and light, though it prefers medium to high humidity and bright indirect light. Chamaedorea elegans is intolerant of frost and must be kept indoors in winter in non-tropical climates.
It enjoys light potting soil, good humidity and moderate lighting without direct sunlight, but it accommodates a certain dryness, high humidity or reduced lighting. In winter, it is preferable that the temperature of the room it's housed in does not exceed 12–14 °C (53+1⁄2–57 °F). The plant was successful in the Victorian era because it survived in the dark and often unheated British homes of the time, and in greenhouses which were used to grow and cultivate exotic plants, a practice fashionable at the time.
Propagation is done only by sowing.
In its natural rain-forest floor setting, the parlor palm often grows in competition with vines. It sometimes is seen growing along rock walls, which can provide support. Due to the thinness of the stem, in nature the palm sometimes falls over during storms if grown in the open. The rhizomatic roots can re-root from a fallen position in mature plants, if it has grown adventitious roots.
In a potted environment, pruning can be done with mature plants from the bottom only (cutting the top off is fatal) and only if adventitious roots are available. As the stem grows additional roots, the bottom of the stem can be severed and the plant re-rooted from the roots higher up the stem.",No data available
71,Chamaedorea metallica,Chamaedorea metallica is a species of flowering plant in the family Arecaceae.,"Chamaedorea metallica is a garden plant in sub-tropical climates, such as coastal Southern California, and in tropical regions. It is also a popular house plant.",No data available
72,Chamaedorea seifrizii,"Chamaedorea seifrizii, commonly known as bamboo palm, parlor palm, or reed palm, is a species of plant in the family Arecaceae. It is a subtropical palm that grows up to 20 feet tall, and is commonly used as a houseplant. The evergreen leaves are pinnately divided, and yellow flowers are borne on a panicle. The fruit are small, round, and black.

","Referred to as xate, xiat, or chiat in Mayan, C. seifrizii was cultivated by the Maya people in the pre-Columbian era as an ornamental plant and possibly for religious purposes, often being planted around villages and temples.
Today, C. seifrizii is widely cultivated as both an indoor and outdoor plant. It is easily propagated from seed or by division.",No data available
73,Chlorophytum comosum,"Chlorophytum comosum, usually called spider plant or common spider plant due to its spider-like look, also known as spider ivy, airplane plant, ribbon plant (a name it shares with Dracaena sanderiana), and hen and chickens, is a species of evergreen perennial flowering plant of the family Asparagaceae. It is native to tropical and Southern Africa but has become naturalized in other parts of the world, including Western Australia and Bangladesh. Chlorophytum comosum is easy to grow as a houseplant because of its resilience, but it can be sensitive to the fluoride in tap water, which commonly gives it ""burnt tips"". Variegated forms are the most popular.

","Chlorophytum comosum is a popular houseplant. The cultivars with all-green leaves forms only a small proportion of plants sold. More common are two variegated cultivars:

C. comosum 'Vittatum' has mid-green leaves with a broad central white stripe. It is often sold in hanging baskets to display the plantlets. The long stems are white. There is also a ""curly"" version with this type of striping and compact size.
C. comosum 'Variegatum' has darker green leaves with white margins. It is generally smaller than the previous cultivar. The long stems are green.
Both cultivars have gained the Royal Horticultural Society's Award of Garden Merit (confirmed 2017).
In 2021, 17 other cultivars were listed, including 'Bonnie', 'Green Bonnie' and 'Hawaiian'.",No data available
74,Cissus discolor,"Cissus discolor (syn. Cissus javana), the rex begonia vine, is a species of flowering plant in the family Vitaceae. It is found in tropical Asia; south-central China, Nepal, India, Bangladesh, Mainland Southeast Asia, Java, the Lesser Sunda Islands, and the Philippines at elevations of 600–2000 meters. It has been introduced to Trinidad and Tobago. A tender evergreen climber of slender habit, it typically reaches 2.5 m (8 ft), but is usually only 30 cm (1 ft) wide. 

",No data available,No data available
75,Clusia rosea,"Clusia rosea, the autograph tree, copey, cupey, balsam apple, pitch-apple, and Scotch attorney, is an evergreen, tropical and sub-tropical flowering plant species in the family Clusiaceae. The name Clusia major is sometimes misapplied to this species.

","This plant is cultivated as an ornamental plant, for its flowers, foliage, and fruit. It is planted in gardens as a fruiting and ornamental tree in sub-tropical climates, and used as a houseplant in many climates.",No data available
76,Codiaeum variegatum,"Codiaeum variegatum (fire croton, garden croton, or variegated croton, or simply 'croton'; syn. Croton variegatum L.) is a species of Codiaeum, a genus of flowering plants, in the  Euphorbiaceae (the spurge family). Initially described by Carl Linnaeus in 1753, it is native to Australasia and Oceania, from Malaysia and Indonesia in the north through northeastern Australia, as well as many Southeast Asian and South Pacific islands, growing in open forests and scrub. 
The Codiaeums' commonly used name of ""croton"" should not be confused with Croton, a separate genus—also within the Euphorbiaceae—which contains more than 700 species of cosmopolitan herbs, shrubs, and trees.","In tropical climates, crotons make attractive hedges and potted patio specimens, valued for their striking foliage. They only survive outdoors where temperatures do not normally drop below 10 to 13 °C (50 to 55 °F) in winter; colder temperatures can cause leaf loss. In colder climates, the plants are grown in greenhouses or as house plants. The cultivated garden crotons are usually smaller than the wild plant, rarely over 1.8 m (5.9 ft) tall, and occur in a wide diversity of leaf shapes and colours. They are sometimes grouped under the name Codiaeum variegatum var. pictum (Lodd.) Müll. Arg., though this is not botanically distinct from the species and usually treated as a synonym of it.","As with the majority of the spurges, when broken or cut, every part of C. variegatum will ""bleed"" and drip a milky, caustic sap, eventually drying into a latex-like consistency. Care must be taken to avoid touching this latex, such as only handling the plant while wearing sufficiently protective gloves, as well as eye goggles or sunglasses. Generally, small, inadvertent drops of the sap on one's hands or skin will cause no ill effect in the majority of the population, provided it is promptly washed off using soapy, warm water—this may even be followed with the use of a hand sanitizer or even a mildly diluted isopropyl alcohol. However, direct contact between the sap of Euphorbiaceae and the eyes, ears, nose, mouth, genitals, or any open wound, is strongly discouraged and may result in unknown side effects. Complications stemming from sap contact may range from mild to extreme burning pain, itchiness, rash or temporary dulling of the senses; depending on the region of the body affected, this sensory reaction may include temporary or long-term complications with sight, hearing, taste, feeling or smell, among other issues. In certain sensitive-skinned individuals, contact with small amounts of the sap can cause contact dermatitis. The entire plant, including its bark, roots, inflorescences and foliage, is poisonous. The primary alkaloid present is the chemical compound 5-desoxyingenol.  The plant contains an oil which is violently purgative and a suspected carcinogen.  Consumption of the seeds can be fatal to children and even adults."
77,Coleus scutellarioides,"Coleus scutellarioides, commonly known as coleus, is a species of flowering plant in the family Lamiaceae (the mint or deadnettle family), native to southeast Asia through to Australia. Typically growing to 60–75 cm (24–30 in) tall and wide, it is a bushy, woody-based evergreen perennial, widely grown for the highly decorative variegated leaves found in cultivated varieties. 
Another common name is painted nettle, reflecting its relationship to deadnettles (Lamium species), which are in the same family. (True nettles and their close kin are in the distant family Urticaceae.) The synonyms Coleus blumei, Plectranthus scutellarioides and Solenostemon scutellarioides are also widely used for this species.

",No data available,No data available
78,Colocasia fallax,"Colocasia is a genus of flowering plants in the family Araceae, native to Southeast Asia and the Indian subcontinent. Some species are widely cultivated and naturalized in other tropical and subtropical regions.
The names elephant-ear and cocoyam are also used for some other large-leaved genera in the Araceae, notably Xanthosoma and Caladium. The generic name is derived from the ancient Greek word kolokasion, which in the Koine Greek of the 1st century botanist Pedanius Dioscorides may have meant the edible roots of both taro (C. esculenta) and Nelumbo nucifera.
The species Colocasia esculenta is invasive in wetlands along the Gulf Coast of the United States, where it threatens to displace native wetland plants.","C. esculenta and other members of the genus are cultivated as ornamental plants, or for their edible corms, a traditional starch staple in many tropical areas.
The plant can be grown in the ground or in large containers. They are grown outside year-round in subtropical and tropical areas. In temperate regions, they are planted out for the summer and dug up and stored over winter, dry and with ventilation to prevent fungal infection. They can be grown in almost any temperature zone as long as the summer is warm. Growth is best at temperatures between 20 and 30 °C (68 and 86 °F). The plants can be damaged if temperatures fall below 10 °C (50 °F) for more than a few days.
The root tuber is typically planted close to the surface. The first signs of growth will appear in 1 to 3 weeks. The adult plant will need a minimum of at least 1 m2 (11 sq ft) of space for good growth. They do best in compost-rich soil and in shade, but will grow reasonably well in average soil provided it is moisture-retentive. The plants should not be left to go dry for too long; if this does happen, the leaves will wilt; watering will allow the plant to recover if done before they get too dry. Periodic fertilisation (every 3 to 4 weeks) with a common plant fertiliser will increase yields.",No data available
79,Cordyline fruticosa,"Cordyline fruticosa is an evergreen flowering plant in the family Asparagaceae. It is known by a wide variety of common names, including ti plant, palm lily, and cabbage palm.
The plant has been cultivated in Asia and Oceania, with a number of uses including food and traditional medicine. It is of great cultural importance to the traditional inhabitants of the Pacific Islands and Maritime Southeast Asia.

","Its original native distribution is unknown, but it is believed to be native to the region from Bangladesh, to Mainland Southeast Asia, South China, Taiwan, Maritime Southeast Asia, New Guinea, and Northern Australia. It has the highest morphological diversity in New Guinea and is believed to have been extensively cultivated there.
It was carried throughout Oceania by Austronesians, reaching as far as Hawaii, New Zealand (including the Kermadec Islands), and Easter Island at their furthest extent. A particularly important type of ti in eastern Polynesia is a large green-leafed cultivar grown for their enlarged edible rhizomes. Unlike the ti populations in Southeast Asia and Near Oceania, this cultivar is almost entirely sterile in the further islands of eastern Polynesia. It can be propagated only by cuttings from the stalks or the rhizomes. It is speculated that this was the result of deliberate artificial selection, probably because they produce larger and less fibrous rhizomes more suitable for use as food.
It was introduced to Europe as a houseplant in 1771.",No data available
80,Crassula arborescens,"Crassula arborescens—the silver jade plant, silver dollar (jade) plant, beestebul, Chinese jade, cookie plant, money plant, or money tree, that is endemic to Western Cape,  South Africa,  is a species of succulent plant in the family Crassulaceae.","It is cultivated as an ornamental plant for use in drought tolerant and succulent gardens, and in container gardens. It is also suitable for growing indoors as a houseplant if provided with full-exposure, sunny windows or grow lights, to prevent etiolation.",No data available
81,Crassula muscosa,"Crassula muscosa,  synonyms Crassula lycopodioides and Crassula pseudolycopodioides, is a succulent plant native to South Africa and Namibia, belonging to the family Crassulaceae and to the genus Crassula. It is a houseplant grown worldwide and commonly known as rattail crassula, watch chain, lizard's tail, zipper plant and princess pines.

","During the cold season, it tolerates temperature drops up to a minimum of 6-8°C, requiring little water. In summer, it needs a lot more water and should be not exposed to full sun, as it suffers under excessive sunlight. When these conditions are not met the plant begins to dry and stiffen, generally starting from the base of the stem up to the tips. It is an invasive species and easily propagated from stem cuttings. If the environment maintains a stable temperature of 20-21°C, with adequate humidity and brightness, the cutting will root and grow rapidly.",No data available
82,Crassula ovata,"Crassula ovata, commonly known as jade plant, lucky plant, money plant or money tree, is a succulent plant with small pink or white flowers that is native to the KwaZulu-Natal and Eastern Cape provinces of South Africa, and Mozambique; it is common as a houseplant worldwide. Much of its popularity stems from the low levels of care needed; the jade plant requires little water and can survive in most indoor conditions. It is sometimes referred to as the money tree; however, Pachira aquatica also has this nickname.

","As a succulent, Crassula ovata requires little water in the summer and even less in the winter. It is susceptible to overwatering, especially during the cold season. Watering excessively can cause leaf fall and root rot. However, a lack of water can also damage it. It should be grown in a porous substrate with good drainage, which will vary depending on the climate it is grown in. It requires four to six hours of direct sun or medium shade exposures with bright light per day. In regions with mild weather it can withstand some light frost provided that the substrate is kept dry.
C. ovata may display a red tinge around its leaves when grown in bright sunlight. In more extreme cases the green colour of the plant is lost and may be replaced by yellow. This is caused by the jade plant making pigments such as carotenoids to protect it from harsh sunlight and ultraviolet rays. The plant also flowers in the winter, particularly during a cooler, darker, dry spell. C. ovata is sometimes attacked by mealybugs, a common nuisance of the succulents.","Some sources claim that some species from the Crassulaceae family, including the jade plant, are toxic to horses, cats and dogs, as well as mildly toxic to humans with skin contact, but such claims remain unproven. Crassula ovata is known to be used as medicinal plant in some regions."
83,Ctenanthe burle-marxii,"Ctenanthe is a genus of flowering plants of the family Marantaceae described as a genus in 1884. They are evergreen perennials, native to Central and South America (primarily Brazil). They are grown for their attractive, often variegated foliage. They are frost tender, requiring a minimum temperature of 13 °C (55 °F).

",No data available,No data available
84,Ctenanthe lubbersiana,"Ctenanthe lubbersiana, called the bamburanta, is a species of flowering plant in the genus Ctenanthe, native to Brazil. It has gained the Royal Horticultural Society's Award of Garden Merit as a subtropical hothouse ornamental.",No data available,No data available
85,Ctenanthe oppenheimiana,"Ctenanthe oppenheimiana, the giant bamburanta or never-never plant, is a species of flowering plant of family Marantaceae and is a native of Brazil.  It is an evergreen perennial. This plant can grow to more than 1 m (3.3 ft) tall and broad, with long narrow leaves up to 40 cm (16 in) in length. The leaves are adorned on the secondary veins with dark green bands, which meet and merge in the margins. In between are cream coloured bands. The undersides of the leaves have a red-ish colour. The cultivar 'Tricolor' is a common ornamental variety, which as a houseplant in the UK has gained the Royal Horticultural Society's Award of Garden Merit. (confirmed 2017). This cultivar is visually very similar to Stromanthe Sanguinea 'Triostar', and the two are often confused. The difference between the two lies in the lack of regular banding on the leaves of the Sromanthe, and the generally more rounded shape of the leaves in Ctenanthe.

",No data available,No data available
86,Curcuma zedoaria,"Curcuma zedoaria (zedoary /ˈzɛdəʊərɪ/, white turmeric, or temu putih) is a perennial herb and member of the genus Curcuma, family Zingiberaceae. The plant is native to South Asia and Southeast Asia but is now naturalized in other places including the US state of Florida. Zedoary was one of the ancient food plants of the Austronesian peoples. They were spread during prehistoric times to the Pacific Islands and Madagascar during the Austronesian expansion (c. 5,000 BP). Its use as a spice in the West today is extremely rare, having been replaced by ginger, and to a lesser extent, yellow turmeric.",No data available,No data available
87,Curio 'Trident Blue',"Curio 'Trident Blue', known commonly as Senecio 'Trident Blue', Trident Blue Chalk and Kleinia 'Trident Blue', is a spear-shaped succulent plant that is a hybrid of Curio repens and Curio talinoides. 

",No data available,No data available
88,Curio × peregrinus,"Curio × peregrinus, also known as dolphin necklace, flying dolphins, string of dolphins, dolphin plant or Senecio hippogriff, is a succulent nothospecies of Curio (previously Senecio) in the family Asteraceae. It is often called, incorrectly, Senecio peregrinus, but that name was previously given, by Grisebach in 1879, to a different species from South America. The name Curio × peregrinus was published in 1999, based on the earlier name Kleinia peregrina; however, this name was not validly published. The plant is a hybrid between Curio rowleyanus and Curio articulatus.","The plant thrives under bright, indirect light with some morning sun and in semi-shade under moist conditions. Not frost tolerant and preferring warmer weather, the plant may become sunburned from incessant sun exposure. The plant does well in hanging baskets, where its leaves can shower downward. Under good conditions, the plant can grow over 50 cm in the first year. The plant may be fertilised once or twice a year to heighten new growth and its general health. The plant can be propagated through cuttings.",No data available
89,Cyclamen persicum,"Cyclamen persicum, the Persian cyclamen, is a species of flowering herbaceous perennial plant growing from a tuber, native to rocky hillsides, shrubland, and woodland up to 1,200 m (3,900 ft) above sea level, from south-central Turkey to the Levant. Cultivars of this species are the commonly seen florist's cyclamen.

",No data available,No data available
